version,Participant Private ID,condition,Trial Number,Spreadsheet: pairing,Spreadsheet: modality,Spreadsheet: word-a,Spreadsheet: word-b,Spreadsheet: word-answer,Spreadsheet: meaning-prompt,Response,Correct,Reaction Time
18,13344171.0,condition-3,8.0,i1,interoceptive,i1kh-gatugatu.mp4,i1hk-geNnari.mp4,i1kh-gatugatu.mp4,"ravenously, greedily",i1hk-geNnari.mp4,0,11736.19999998808
18,13344171.0,condition-3,9.0,a5,auditory,a5kh-dotabata.mp4,a5hk-sororisorori.mp4,a5kh-dotabata.mp4,"noisily, with heavy feet",a5hk-sororisorori.mp4,0,8743.000000011933
18,13344171.0,condition-3,10.0,a7,auditory,a7hk-dosidosi.mp4,a7kh-gisigisi.mp4,a7kh-gisigisi.mp4,"with a creak, squeak",a7kh-gisigisi.mp4,1,9449.400000000023
18,13344171.0,condition-3,11.0,v9,visual,v9kh-bosabosa.mp4,v9hk-mukumuku.mp4,v9kh-bosabosa.mp4,"ruffled, disheveled",v9kh-bosabosa.mp4,1,8532.700000000012
18,13344171.0,condition-3,12.0,i5,interoceptive,i5hk-nobinobi.mp4,i5kh-harahara.mp4,i5kh-harahara.mp4,"anxious, nervous",i5hk-nobinobi.mp4,0,8864.600000023842
18,13344171.0,condition-3,13.0,i7,interoceptive,i7hk-hokkori.mp4,i7kh-zokuzoku.mp4,i7kh-zokuzoku.mp4,"shivering, feeling chilly",i7kh-zokuzoku.mp4,1,11879.900000000023
18,13344171.0,condition-3,14.0,a9,auditory,a9kh-sakutto.mp4,a9hk-mogomogo.mp4,a9kh-sakutto.mp4,with a crunch,a9kh-sakutto.mp4,1,8870.89999998809
18,13344171.0,condition-3,15.0,a3,auditory,a3kh-syakisyaki.mp4,a3hk-ziriziri.mp4,a3kh-syakisyaki.mp4,"crisp, crunchy",a3hk-ziriziri.mp4,0,11373.500000023863
18,13344171.0,condition-3,16.0,v7,visual,v7kh-kiritto.mp4,v7hk-boNyari.mp4,v7kh-kiritto.mp4,"crisp appearance, stiffly",v7hk-boNyari.mp4,0,10043.200000000012
18,13344171.0,condition-3,17.0,v5,visual,v5hk-busuri.mp4,v5kh-nikoniko.mp4,v5kh-nikoniko.mp4,"smilingly, with a grin",v5hk-busuri.mp4,0,9236.10000001191
18,13344171.0,condition-3,18.0,a2,auditory,a2hk-zyaazyaa.mp4,a2kh-potapota.mp4,a2hk-zyaazyaa.mp4,noisily gushing,a2hk-zyaazyaa.mp4,1,8143.90000002383
18,13344171.0,condition-3,19.0,i3,interoceptive,i3hk-sukkiri.mp4,i3kh-iraira.mp4,i3kh-iraira.mp4,"to get irritated, annoyed",i3kh-iraira.mp4,1,10166.600000000037
18,13344171.0,condition-3,20.0,v8,visual,v8kh-garigari.mp4,v8hk-marumaru.mp4,v8hk-marumaru.mp4,"plump, rotund, chubby",v8hk-marumaru.mp4,1,9362.600000023842
18,13344171.0,condition-3,21.0,v6,visual,v6kh-gotugotu.mp4,v6hk-huNwari.mp4,v6hk-huNwari.mp4,"gently, airily, fluffy",v6hk-huNwari.mp4,1,7950.0
18,13344171.0,condition-3,22.0,v0,visual,v0kh-tiratira.mp4,v0hk-kukkiri.mp4,v0hk-kukkiri.mp4,"clearly, distinctly, sharply",v0hk-kukkiri.mp4,1,8646.199999988079
18,13344171.0,condition-3,23.0,a4,auditory,a4hk-zuruzuru.mp4,a4kh-poripori.mp4,a4hk-zuruzuru.mp4,with a slurp,a4hk-zuruzuru.mp4,1,8981.60000001191
18,13344171.0,condition-3,24.0,v4,visual,v4hk-bissiri.mp4,v4kh-barabara.mp4,v4hk-bissiri.mp4,"closely lined up, densely",v4kh-barabara.mp4,0,11074.39999998809
18,13344171.0,condition-3,25.0,i0,interoceptive,i0hk-uNzari.mp4,i0kh-wakuwaku.mp4,i0hk-uNzari.mp4,"boredom, tedious, fed up with",i0hk-uNzari.mp4,1,8872.400000035763
18,13344171.0,condition-3,26.0,i8,interoceptive,i8kh-dokiri.mp4,i8hk-hotto.mp4,i8hk-hotto.mp4,with a feeling of relief,i8kh-dokiri.mp4,0,7692.300000035786
18,13344171.0,condition-3,27.0,i2,interoceptive,i2hk-syoboN.mp4,i2kh-ruNruN.mp4,i2hk-syoboN.mp4,"downhearted, dejected",i2hk-syoboN.mp4,1,9465.900000000023
18,13344171.0,condition-3,28.0,v1,visual,v1kh-gizagiza.mp4,v1hk-kurikuri.mp4,v1kh-gizagiza.mp4,"jagged, serrated",v1kh-gizagiza.mp4,1,8947.300000011921
18,13344171.0,condition-3,29.0,v2,visual,v2hk-doNyori.mp4,v2kh-kirakira.mp4,v2hk-doNyori.mp4,"dark, gloomy",v2kh-kirakira.mp4,0,8803.800000011921
18,13344171.0,condition-3,30.0,a6,auditory,a6hk-dosari.mp4,a6kh-katitto.mp4,a6hk-dosari.mp4,with a thud,a6hk-dosari.mp4,1,9514.799999988056
18,13349143.0,condition-2,1.0,v7,visual,v7hh-boNyari.mp4,v7kk-kiritto.mp4,v7kk-kiritto.mp4,"crisp appearance, stiffly",v7hh-boNyari.mp4,0,12105.02000000002
18,13349143.0,condition-2,2.0,i2,interoceptive,i2kk-ruNruN.mp4,i2hh-syoboN.mp4,i2hh-syoboN.mp4,"downhearted, dejected",i2kk-ruNruN.mp4,0,9138.379999999888
18,13349143.0,condition-2,3.0,i5,interoceptive,i5hh-nobinobi.mp4,i5kk-harahara.mp4,i5kk-harahara.mp4,"anxious, nervous",i5hh-nobinobi.mp4,0,9189.419999999924
18,13349143.0,condition-2,4.0,v0,visual,v0kk-tiratira.mp4,v0hh-kukkiri.mp4,v0hh-kukkiri.mp4,"clearly, distinctly, sharply",v0hh-kukkiri.mp4,1,10006.219999999972
18,13349143.0,condition-2,5.0,a7,auditory,a7hh-dosidosi.mp4,a7kk-gisigisi.mp4,a7kk-gisigisi.mp4,"with a creak, squeak",a7kk-gisigisi.mp4,1,8803.800000000047
18,13349143.0,condition-2,6.0,a5,auditory,a5kk-dotabata.mp4,a5hh-sororisorori.mp4,a5kk-dotabata.mp4,"noisily, with heavy feet",a5kk-dotabata.mp4,1,8755.139999999898
18,13349143.0,condition-2,7.0,a0,auditory,a0kk-katakata.mp4,a0hh-gosogoso.mp4,a0hh-gosogoso.mp4,with a rustling sound,a0kk-katakata.mp4,0,12304.52000000002
18,13349143.0,condition-2,8.0,i3,interoceptive,i3hh-sukkiri.mp4,i3kk-iraira.mp4,i3kk-iraira.mp4,"to get irritated, annoyed",i3kk-iraira.mp4,1,8571.879999999888
18,13349143.0,condition-2,9.0,i1,interoceptive,i1hh-geNnari.mp4,i1kk-gatugatu.mp4,i1kk-gatugatu.mp4,"ravenously, greedily",i1hh-geNnari.mp4,0,10787.580000000076
18,13349143.0,condition-2,10.0,i9,interoceptive,i9hh-yuttari.mp4,i9kk-dokidoki.mp4,i9kk-dokidoki.mp4,with a rapid heartbeat,i9hh-yuttari.mp4,0,14838.620000000112
18,13349143.0,condition-2,11.0,v4,visual,v4hh-bissiri.mp4,v4kk-barabara.mp4,v4hh-bissiri.mp4,"closely lined up, densely",v4hh-bissiri.mp4,1,9289.620000000112
18,13349143.0,condition-2,12.0,a3,auditory,a3hh-ziriziri.mp4,a3kk-syakisyaki.mp4,a3kk-syakisyaki.mp4,"crisp, crunchy",a3hh-ziriziri.mp4,0,10553.679999999937
18,13349143.0,condition-2,13.0,a6,auditory,a6kk-katitto.mp4,a6hh-dosari.mp4,a6hh-dosari.mp4,with a thud,a6hh-dosari.mp4,1,9669.040000000035
18,13349143.0,condition-2,14.0,a2,auditory,a2kk-potapota.mp4,a2hh-zyaazyaa.mp4,a2hh-zyaazyaa.mp4,noisily gushing,a2hh-zyaazyaa.mp4,1,9086.740000000224
18,13349143.0,condition-2,15.0,i0,interoceptive,i0kk-wakuwaku.mp4,i0hh-uNzari.mp4,i0hh-uNzari.mp4,"boredom, tedious, fed up with",i0kk-wakuwaku.mp4,0,10720.720000000205
18,13349143.0,condition-2,16.0,i4,interoceptive,i4kk-dogimagi.mp4,i4hh-tyaNto.mp4,i4hh-tyaNto.mp4,"attentive, proper attitude",i4hh-tyaNto.mp4,1,8970.459999999963
18,13349143.0,condition-2,17.0,v2,visual,v2hh-doNyori.mp4,v2kk-kirakira.mp4,v2hh-doNyori.mp4,"dark, gloomy",v2hh-doNyori.mp4,1,8621.560000000056
18,13349143.0,condition-2,18.0,a4,auditory,a4hh-zuruzuru.mp4,a4kk-poripori.mp4,a4hh-zuruzuru.mp4,with a slurp,a4kk-poripori.mp4,0,9070.85999999987
18,13349143.0,condition-2,19.0,i8,interoceptive,i8hh-hotto.mp4,i8kk-dokiri.mp4,i8hh-hotto.mp4,with a feeling of relief,i8hh-hotto.mp4,1,14737.540000000035
18,13349143.0,condition-2,20.0,a1,auditory,a1hh-sitosito.mp4,a1kk-batyabatya.mp4,a1kk-batyabatya.mp4,splashing,a1kk-batyabatya.mp4,1,9303.600000000091
18,13349143.0,condition-2,21.0,i6,interoceptive,i6kk-girigiri.mp4,i6hh-noNbiri.mp4,i6hh-noNbiri.mp4,"at leisure, in a relaxed manner",i6hh-noNbiri.mp4,1,9720.939999999944
18,13349143.0,condition-2,22.0,a8,auditory,a8kk-kyaakyaa.mp4,a8hh-bosori.mp4,a8hh-bosori.mp4,"in a whisper, in a murmur",a8kk-kyaakyaa.mp4,0,9970.64000000013
18,13349143.0,condition-2,23.0,a9,auditory,a9kk-sakutto.mp4,a9hh-mogomogo.mp4,a9kk-sakutto.mp4,with a crunch,a9kk-sakutto.mp4,1,9838.52000000002
18,13349143.0,condition-2,24.0,i7,interoceptive,i7kk-zokuzoku.mp4,i7hh-hokkori.mp4,i7kk-zokuzoku.mp4,"shivering, feeling chilly",i7kk-zokuzoku.mp4,1,10888.35999999987
18,13349143.0,condition-2,25.0,v9,visual,v9kk-bosabosa.mp4,v9hh-mukumuku.mp4,v9kk-bosabosa.mp4,"ruffled, disheveled",v9hh-mukumuku.mp4,0,39703.39999999991
18,13349143.0,condition-2,26.0,v6,visual,v6kk-gotugotu.mp4,v6hh-huNwari.mp4,v6hh-huNwari.mp4,"gently, airily, fluffy",v6hh-huNwari.mp4,1,8636.839999999851
18,13349143.0,condition-2,27.0,v1,visual,v1hh-kurikuri.mp4,v1kk-gizagiza.mp4,v1kk-gizagiza.mp4,"jagged, serrated",v1hh-kurikuri.mp4,0,8920.85999999987
18,13349143.0,condition-2,28.0,v3,visual,v3kk-hirahira.mp4,v3hh-pitari.mp4,v3kk-hirahira.mp4,"fluttering, dangling",v3hh-pitari.mp4,0,12038.560000000056
18,13349143.0,condition-2,29.0,v8,visual,v8hh-marumaru.mp4,v8kk-garigari.mp4,v8hh-marumaru.mp4,"plump, rotund, chubby",v8hh-marumaru.mp4,1,10986.580000000076
18,13349143.0,condition-2,30.0,v5,visual,v5kk-nikoniko.mp4,v5hh-busuri.mp4,v5kk-nikoniko.mp4,"smilingly, with a grin",v5kk-nikoniko.mp4,1,8169.620000000112
18,13352762.0,condition-3,1.0,a7,auditory,a7kh-gisigisi.mp4,a7hk-dosidosi.mp4,a7kh-gisigisi.mp4,"with a creak, squeak",a7hk-dosidosi.mp4,0,12716.0
18,13352762.0,condition-3,2.0,v2,visual,v2hk-doNyori.mp4,v2kh-kirakira.mp4,v2hk-doNyori.mp4,"dark, gloomy",v2kh-kirakira.mp4,0,13420.0
18,13352762.0,condition-3,3.0,i3,interoceptive,i3hk-sukkiri.mp4,i3kh-iraira.mp4,i3kh-iraira.mp4,"to get irritated, annoyed",i3kh-iraira.mp4,1,12761.0
18,13352762.0,condition-3,4.0,v4,visual,v4hk-bissiri.mp4,v4kh-barabara.mp4,v4hk-bissiri.mp4,"closely lined up, densely",v4hk-bissiri.mp4,1,11201.0
18,13352762.0,condition-3,5.0,a0,auditory,a0hk-gosogoso.mp4,a0kh-katakata.mp4,a0hk-gosogoso.mp4,with a rustling sound,a0kh-katakata.mp4,0,8818.0
18,13352762.0,condition-3,6.0,i5,interoceptive,i5kh-harahara.mp4,i5hk-nobinobi.mp4,i5kh-harahara.mp4,"anxious, nervous",i5hk-nobinobi.mp4,0,11619.0
18,13352762.0,condition-3,7.0,i4,interoceptive,i4hk-tyaNto.mp4,i4kh-dogimagi.mp4,i4hk-tyaNto.mp4,"attentive, proper attitude",i4kh-dogimagi.mp4,0,21073.0
18,13352762.0,condition-3,8.0,i9,interoceptive,i9hk-yuttari.mp4,i9kh-dokidoki.mp4,i9kh-dokidoki.mp4,with a rapid heartbeat,i9kh-dokidoki.mp4,1,10735.0
18,13352762.0,condition-3,9.0,a2,auditory,a2kh-potapota.mp4,a2hk-zyaazyaa.mp4,a2hk-zyaazyaa.mp4,noisily gushing,a2kh-potapota.mp4,0,9653.0
18,13352762.0,condition-3,10.0,i2,interoceptive,i2hk-syoboN.mp4,i2kh-ruNruN.mp4,i2hk-syoboN.mp4,"downhearted, dejected",i2kh-ruNruN.mp4,0,17237.0
18,13352762.0,condition-3,11.0,a1,auditory,a1kh-batyabatya.mp4,a1hk-sitosito.mp4,a1kh-batyabatya.mp4,splashing,a1hk-sitosito.mp4,0,13920.0
18,13352762.0,condition-3,12.0,i0,interoceptive,i0hk-uNzari.mp4,i0kh-wakuwaku.mp4,i0hk-uNzari.mp4,"boredom, tedious, fed up with",i0kh-wakuwaku.mp4,0,11170.0
